index,tweet_id
130,1245683798462906372
130,1245629532813443072
130,1245608876143046658
130,1245554608111583234
130,1245483151415263232
130,1245476875792719874
130,1245462569596276736
130,1245443369184231425
130,1245435333900107776
130,1245427330673250306
130,1245414069000998913
130,1245411835265892352
130,1245402088194150403
130,1245398801776427008
130,1245389464870031360
130,1245384565226602503
130,1245380625403650050
130,1245377059549065217
130,1245364115469729793
130,1245361031171452928
130,1245358960925741058
130,1245350769710292993
130,1245340980645187587
130,1245338276837244930
130,1245326344763748354
130,1245322410087387136
130,1245314554810245121
130,1245309501282058241
130,1245294325380112384
130,1245293606472232960
130,1245293111821119490
130,1245289515289317383
130,1245285803930062849
130,1245273810946981889
130,1245272635690422278
130,1245270921201541120
130,1245261872359780352
130,1245260602034946053
130,1245259789820497921
130,1245256022580539394
130,1245253267535343616
130,1245250955274321921
130,1245241928259534853
130,1245238291668119553
130,1245237453121708032
130,1245216620819210240
130,1245211409685848078
130,1245211368409780224
130,1245211040213843969
130,1245208851281936386
130,1245205886483775488
130,1245203477900316673
130,1245202605728362497
130,1245201408732712962
130,1245200795227881472
130,1245200522514173952
130,1245197688099885056
130,1245197386458202112
130,1245196854826078208
130,1245194943360090112
130,1245193778568343552
130,1245188102831796224
130,1245187697846575105
130,1245185603022385152
130,1245185173437718528
130,1245184484473032708
130,1245184182839631873
130,1245181546878980097
130,1245181319820304384
130,1245176664319016960
130,1245174758661971968
130,1245172790153674754
130,1245172473202708480
130,1245171592361107457
130,1245170810836393984
130,1245170315854053378
130,1245169339726057473
130,1245168418682265602
130,1245168105715904512
130,1245167452239073281
130,1245167398929534976
130,1245165726274482176
130,1245165695677149188
130,1245165199591645184
130,1245163326193250307
130,1245163177043734534
130,1245162813875785733
130,1245162300744462336
130,1245162256326889479
130,1245162250870181889
130,1245159299963330561
130,1245159146019848192
130,1245157476170969088
130,1245153949063229440
130,1245151739654758400
130,1245149637842894849
130,1245148879768530944
130,1245148616173518848
130,1245148530882347009
130,1245148461718294528
130,1245146971096006656
130,1245146470459809792
130,1245145725702471681
130,1245143983048646657
130,1245142596961226752
130,1245142134841397254
130,1245142012808085506
130,1245140207243939842
130,1245139983016562689
130,1245139564622163976
130,1245139507202215937
130,1245138971816067075
130,1245138784661929984
130,1245138741037092866
130,1245136581964382213
130,1245131872277053441
130,1245130389477142529
130,1245130317868027904
130,1245129384496730112
130,1245128873022500864
130,1245128747696652288
17,1255971979481493505
17,1255892816477159425
17,1255695181979869184
17,1255638972308484097
17,1255484783884369921
201,1255965398203338754
201,1255778411290800128
201,1255582570432983041
201,1255513094341738497
201,1255097175043977218
201,1254179453149892608
201,1253440905144610819
201,1253416865440780288
201,1253372420741664769
201,1253297677405696001
201,1252261311452344321
201,1252204733370191873
201,1252027024824242176
201,1251759895293997057
201,1251237405199224832
201,1251122619774054400
201,1251084328123146243
201,1251005509399797760
201,1250921804228681728
201,1250623195561857025
201,1250492111473922049
201,1250327470517051393
201,1250154809338073097
201,1250154706644549633
201,1249989346486145025
201,1249964148265385984
201,1249710085451829248
201,1249238406418305024
201,1249137886450143236
201,1249053438932963328
201,1249037977415606275
201,1248663715467202560
201,1248639208559906825
201,1248618269491122176
201,1248616607519137792
201,1248607930137497602
201,1248346369028263936
201,1248346367279247361
201,1248302515570921473
201,1248254667169173505
201,1248247336045703169
201,1248169842353426433
201,1248077602876788742
201,1248027754139877382
201,1247999637685800960
201,1247977274810535937
201,1247964470854500354
201,1247962380426006528
201,1247917281239326721
201,1247884381701603331
201,1247618915544567809
201,1247561440665501698
201,1247473676209000448
201,1247460013142089728
201,1247435898129510400
201,1247341056833789952
201,1247288349640908800
201,1247247668419743747
201,1247228875458764800
201,1247225924409413632
201,1247185185839382528
201,1247175188271304704
201,1247167845735202816
201,1247139959447969798
201,1247058170914246657
201,1246978891333251072
201,1246975777020604417
201,1246974819658162176
201,1246938440001863681
201,1246922017208782848
201,1246907414236090375
201,1246890209414918144
201,1246885438230597636
201,1246852109837967360
201,1246841713315975171
201,1246839865842565125
201,1246822878500335616
201,1246808631867211776
201,1246807857045143559
201,1246799936966066177
201,1246764503968051200
201,1246762063688597504
201,1246716610909540357
201,1246710416794845186
201,1246652062856654848
201,1246651978270126080
201,1246554074142724097
201,1246528795772735489
201,1246520753165484032
201,1246510081530789889
201,1246509353596866561
201,1246488188308189186
201,1246472407935848449
201,1246469646133256192
201,1246469210504560641
201,1246451176759087104
201,1246450410040242176
201,1246438292905754625
201,1246415879203512321
201,1246410371302330371
201,1246402342276063232
201,1246399836741685249
201,1246397437725433856
201,1246325643928686592
201,1246300179474636805
201,1246291950552018945
201,1246281218171101189
201,1246268246967214080
201,1246260477367209984
201,1246248243157241859
201,1246214554385866763
201,1246213847221927936
587,1256283727593795584
587,1255890447207202816
587,1252062762781609986
587,1251333833821224962
587,1250580283407110144
587,1249762857677447168
587,1249219079828901891
587,1248997277022277632
587,1248759522182729728
587,1248738224798945287
587,1248544285525446657
587,1248068563061088256
587,1248052504417492992
587,1246904112844767235
587,1246847513451098114
587,1246833479830122508
587,1246079000172212224
587,1245842153001140224
587,1245443917245530116
587,1245198970848043008
587,1244094032608985094
587,1243338478752075776
587,1242441780286705665
587,1242317825856937984
587,1241564436508409859
587,1240374718902996993
587,1240360930833305601
587,1240332811053207553
587,1239965707443376129
587,1239889501306191874
587,1239637377271791616
587,1239572078036234242
587,1239428470691827712
587,1239051643209031681
587,1238887740239839232
587,1238887594458398720
587,1238630524706578433
587,1238594399732469763
587,1238518766650003456
587,1238487946979938304
587,1238435778944008192
587,1238381830543376384
587,1238209973332606978
587,1237930396727365634
587,1237209330698670081
587,1237136070988500995
587,1236832072842477570
587,1235704060444962818
587,1235231295376154630
587,1234688365859102720
587,1234666116128989185
587,1234605541739114496
587,1234270908958814208
587,1234114737459355648
587,1233954131796164609
587,1233838083054997505
587,1233286912695250950
587,1232727457167441921
587,1232525946764365824
587,1232462137131356161
587,1232429325061906435
587,1232289687739432962
587,1232166840681369606
587,1232132353331466241
587,1231571110791008256
587,1231262013340430338
587,1231162026254168065
587,1230915336993677313
587,1230691279643795456
587,1229928966104002562
587,1229398648649371649
587,1227806338316750853
587,1227688164921421833
587,1226950583548022785
587,1226806911330332679
587,1226684746299781120
587,1226480750599528456
587,1226343803151429634
587,1226155133899300865
587,1225824985647865856
587,1225785817026695168
587,1225728827680268288
587,1225119096976609282
587,1225039747778797573
587,1224693439389892609
